WellID,Stage,model,mean_Do_x,mean_Do_y,mean_Do_z,sd_Do_x,sd_Do_y,sd_Do_z,hdi_3%_Do_x,hdi_3%_Do_y,hdi_3%_Do_z,hdi_97%_Do_x,hdi_97%_Do_y,hdi_97%_Do_z
3,66,linear,8.375,0.32,1.46,0.078,0.013,0.03,8.211,0.293,1.399,8.494,0.339,1.511
3,66,nonlinear,1.22,0.32,0.25,0.113,0.013,0.023,1.013,0.293,0.207,1.414,0.34,0.286
3,67,linear,10.317,0.408,1.618,0.119,0.024,0.049,10.088,0.37,1.52,10.561,0.457,1.713
3,68,linear,9.832,0.159,2.047,0.087,0.014,0.055,9.683,0.135,1.938,9.992,0.187,2.154
3,69,linear,5.756,0.365,1.226,0.073,0.03,0.031,5.625,0.321,1.176,5.903,0.424,1.295
3,70,linear,10.009,0.129,2.299,0.161,0.01,0.083,9.726,0.11,2.165,10.328,0.146,2.474
3,70,nonlinear,5.234,0.129,0.89,0.624,0.009,0.107,4.12,0.113,0.692,6.285,0.148,1.068
3,71,linear,9.877,0.569,1.681,1.19,0.05,0.177,8.517,0.5,1.412,12.233,0.666,1.986
3,71,nonlinear,3.692,0.57,0.741,0.534,0.053,0.117,2.719,0.497,0.509,4.734,0.685,0.948
3,72,linear,17.446,0.301,3.065,0.194,0.054,0.164,17.111,0.232,2.845,17.848,0.412,3.365
3,72,nonlinear,8.951,0.301,1.608,2.374,0.058,0.428,3.875,0.231,0.743,12.676,0.43,2.321
3,73,linear,10.378,0.321,1.408,0.319,0.018,0.052,9.943,0.285,1.295,11.027,0.349,1.483
3,73,nonlinear,2.092,0.32,0.613,0.27,0.019,0.134,1.572,0.283,0.382,2.561,0.348,0.858
3,74,linear,21.615,0.905,2.304,0.217,0.056,0.08,21.222,0.825,2.161,22.079,1.02,2.474
3,74,nonlinear,1.1,0.904,0.326,0.188,0.057,0.059,0.781,0.821,0.216,1.452,1.018,0.434
3,75,linear,12.116,0.454,0.841,0.123,0.015,0.024,11.85,0.428,0.795,12.326,0.481,0.888
3,75,nonlinear,0.014,0.454,0.042,0.002,0.014,0.005,0.011,0.431,0.033,0.018,0.484,0.051
3,76,linear,13.24,0.455,1.683,0.687,0.191,0.341,12.472,0.257,1.331,14.517,0.806,2.281
3,76,nonlinear,7.646,0.45,0.856,1.244,0.194,0.149,5.208,0.254,0.55,9.605,0.806,1.113
3,77,linear,18.147,0.841,4.861,0.223,0.051,0.144,17.785,0.762,4.553,18.586,0.944,5.137
3,77,nonlinear,5.609,0.843,1.473,0.952,0.05,0.255,3.768,0.773,0.976,7.126,0.955,1.891
3,78,linear,0.573,0.187,0.055,0.037,0.019,0.006,0.491,0.151,0.046,0.63,0.224,0.066
3,78,nonlinear,0.2,0.187,0.03,0.023,0.018,0.005,0.158,0.152,0.021,0.241,0.219,0.038
3,79,linear,10.867,1.034,1.401,0.505,0.146,0.243,10.311,0.849,1.142,11.832,1.345,1.866
3,79,nonlinear,0.66,1.022,0.099,0.068,0.137,0.012,0.53,0.855,0.074,0.77,1.316,0.12
3,80,linear,0.076,0.467,0.169,0.025,0.011,0.032,0.047,0.448,0.109,0.121,0.488,0.215
3,80,nonlinear,0.014,0.467,0.035,0.003,0.011,0.004,0.009,0.447,0.027,0.019,0.486,0.042
3,81,linear,13.852,1.08,2.407,0.245,0.033,0.048,13.511,1.027,2.32,14.339,1.142,2.5
3,81,nonlinear,0.386,1.08,0.161,0.049,0.032,0.016,0.295,1.029,0.129,0.483,1.141,0.19
3,82,linear,3.106,0.569,0.332,0.065,0.01,0.011,2.985,0.551,0.311,3.2,0.589,0.351
3,82,nonlinear,0.092,0.569,0.036,0.011,0.01,0.004,0.072,0.551,0.029,0.11,0.588,0.043
3,84,linear,7.353,0.697,2.459,0.103,0.027,0.113,7.135,0.64,2.232,7.521,0.736,2.622
3,84,nonlinear,2.54,0.698,0.761,0.248,0.026,0.075,2.077,0.647,0.612,2.956,0.736,0.888
3,85,linear,7.223,0.576,3.316,0.355,0.016,0.086,6.737,0.542,3.175,7.949,0.601,3.459
3,85,nonlinear,1.546,0.576,1.087,0.185,0.016,0.13,1.189,0.542,0.834,1.849,0.6,1.297
3,86,linear,7.958,0.796,7.204,0.238,0.047,0.148,7.492,0.718,6.928,8.308,0.878,7.452
3,86,nonlinear,0.233,0.798,0.05,0.023,0.046,0.006,0.188,0.719,0.039,0.272,0.874,0.06
